datetime,pickups,returns,net_flow,station_id,station_name,date,hour,minute,op_date,daily_cumulative
2026-06-02 07:15:00+00:00,2.0,7.0,5.0,HB106,River St & Newark St,2026-06-02,7,15,2026-06-02,36.0
2026-06-02 07:30:00+00:00,0.0,2.0,2.0,HB106,River St & Newark St,2026-06-02,7,30,2026-06-02,38.0
2026-06-02 07:45:00+00:00,1.0,6.0,5.0,HB106,River St & Newark St,2026-06-02,7,45,2026-06-02,43.0
2026-06-02 08:00:00+00:00,2.0,2.0,0.0,HB106,River St & Newark St,2026-06-02,8,0,2026-06-02,43.0
2026-06-02 08:15:00+00:00,0.0,8.0,8.0,HB106,River St & Newark St,2026-06-02,8,15,2026-06-02,51.0
2026-06-02 08:30:00+00:00,1.0,12.0,11.0,HB106,River St & Newark St,2026-06-02,8,30,2026-06-02,62.0
2026-06-02 08:45:00+00:00,1.0,10.0,9.0,HB106,River St & Newark St,2026-06-02,8,45,2026-06-02,71.0
2026-06-02 09:00:00+00:00,1.0,6.0,5.0,HB106,River St & Newark St,2026-06-02,9,0,2026-06-02,76.0
2026-06-02 09:15:00+00:00,2.0,2.0,0.0,HB106,River St & Newark St,2026-06-02,9,15,2026-06-02,76.0
2026-06-02 09:30:00+00:00,2.0,5.0,3.0,HB106,River St & Newark St,2026-06-02,9,30,2026-06-02,79.0
2026-06-02 09:45:00+00:00,1.0,7.0,6.0,HB106,River St & Newark St,2026-06-02,9,45,2026-06-02,85.0
2026-06-02 10:00:00+00:00,1.0,5.0,4.0,HB106,River St & Newark St,2026-06-02,10,0,2026-06-02,89.0
2026-06-02 10:15:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-02,10,15,2026-06-02,90.0
2026-06-02 10:30:00+00:00,2.0,5.0,3.0,HB106,River St & Newark St,2026-06-02,10,30,2026-06-02,93.0
2026-06-02 10:45:00+00:00,2.0,1.0,-1.0,HB106,River St & Newark St,2026-06-02,10,45,2026-06-02,92.0
2026-06-02 11:00:00+00:00,2.0,2.0,0.0,HB106,River St & Newark St,2026-06-02,11,0,2026-06-02,92.0
2026-06-02 11:15:00+00:00,1.0,1.0,0.0,HB106,River St & Newark St,2026-06-02,11,15,2026-06-02,92.0
2026-06-02 11:30:00+00:00,1.0,1.0,0.0,HB106,River St & Newark St,2026-06-02,11,30,2026-06-02,92.0
2026-06-02 11:45:00+00:00,1.0,0.0,-1.0,HB106,River St & Newark St,2026-06-02,11,45,2026-06-02,91.0
2026-06-02 12:00:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-02,12,0,2026-06-02,92.0
2026-06-02 12:15:00+00:00,0.0,4.0,4.0,HB106,River St & Newark St,2026-06-02,12,15,2026-06-02,96.0
2026-06-02 12:30:00+00:00,1.0,4.0,3.0,HB106,River St & Newark St,2026-06-02,12,30,2026-06-02,99.0
2026-06-02 12:45:00+00:00,0.0,3.0,3.0,HB106,River St & Newark St,2026-06-02,12,45,2026-06-02,102.0
2026-06-02 13:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,13,0,2026-06-02,102.0
2026-06-02 13:15:00+00:00,2.0,2.0,0.0,HB106,River St & Newark St,2026-06-02,13,15,2026-06-02,102.0
2026-06-02 13:30:00+00:00,1.0,1.0,0.0,HB106,River St & Newark St,2026-06-02,13,30,2026-06-02,102.0
2026-06-02 13:45:00+00:00,3.0,0.0,-3.0,HB106,River St & Newark St,2026-06-02,13,45,2026-06-02,99.0
2026-06-02 14:00:00+00:00,2.0,2.0,0.0,HB106,River St & Newark St,2026-06-02,14,0,2026-06-02,99.0
2026-06-02 14:15:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-02,14,15,2026-06-02,100.0
2026-06-02 14:30:00+00:00,1.0,1.0,0.0,HB106,River St & Newark St,2026-06-02,14,30,2026-06-02,100.0
2026-06-02 14:45:00+00:00,5.0,1.0,-4.0,HB106,River St & Newark St,2026-06-02,14,45,2026-06-02,96.0
2026-06-02 15:00:00+00:00,2.0,0.0,-2.0,HB106,River St & Newark St,2026-06-02,15,0,2026-06-02,94.0
2026-06-02 15:15:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-02,15,15,2026-06-02,95.0
2026-06-02 15:30:00+00:00,3.0,1.0,-2.0,HB106,River St & Newark St,2026-06-02,15,30,2026-06-02,93.0
2026-06-02 15:45:00+00:00,2.0,7.0,5.0,HB106,River St & Newark St,2026-06-02,15,45,2026-06-02,98.0
2026-06-02 16:00:00+00:00,3.0,1.0,-2.0,HB106,River St & Newark St,2026-06-02,16,0,2026-06-02,96.0
2026-06-02 16:15:00+00:00,6.0,1.0,-5.0,HB106,River St & Newark St,2026-06-02,16,15,2026-06-02,91.0
2026-06-02 16:30:00+00:00,3.0,1.0,-2.0,HB106,River St & Newark St,2026-06-02,16,30,2026-06-02,89.0
2026-06-02 16:45:00+00:00,5.0,1.0,-4.0,HB106,River St & Newark St,2026-06-02,16,45,2026-06-02,85.0
2026-06-02 17:00:00+00:00,10.0,1.0,-9.0,HB106,River St & Newark St,2026-06-02,17,0,2026-06-02,76.0
2026-06-02 17:15:00+00:00,11.0,3.0,-8.0,HB106,River St & Newark St,2026-06-02,17,15,2026-06-02,68.0
2026-06-02 17:30:00+00:00,15.0,3.0,-12.0,HB106,River St & Newark St,2026-06-02,17,30,2026-06-02,56.0
2026-06-02 17:45:00+00:00,21.0,3.0,-18.0,HB106,River St & Newark St,2026-06-02,17,45,2026-06-02,38.0
2026-06-02 18:00:00+00:00,4.0,4.0,0.0,HB106,River St & Newark St,2026-06-02,18,0,2026-06-02,38.0
2026-06-02 18:15:00+00:00,3.0,3.0,0.0,HB106,River St & Newark St,2026-06-02,18,15,2026-06-02,38.0
2026-06-02 18:30:00+00:00,3.0,4.0,1.0,HB106,River St & Newark St,2026-06-02,18,30,2026-06-02,39.0
2026-06-02 18:45:00+00:00,2.0,1.0,-1.0,HB106,River St & Newark St,2026-06-02,18,45,2026-06-02,38.0
2026-06-02 19:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,19,0,2026-06-02,38.0
2026-06-02 19:15:00+00:00,1.0,1.0,0.0,HB106,River St & Newark St,2026-06-02,19,15,2026-06-02,38.0
2026-06-02 19:30:00+00:00,2.0,1.0,-1.0,HB106,River St & Newark St,2026-06-02,19,30,2026-06-02,37.0
2026-06-02 19:45:00+00:00,1.0,2.0,1.0,HB106,River St & Newark St,2026-06-02,19,45,2026-06-02,38.0
2026-06-02 20:00:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-02,20,0,2026-06-02,39.0
2026-06-02 20:15:00+00:00,3.0,2.0,-1.0,HB106,River St & Newark St,2026-06-02,20,15,2026-06-02,38.0
2026-06-02 20:30:00+00:00,2.0,2.0,0.0,HB106,River St & Newark St,2026-06-02,20,30,2026-06-02,38.0
2026-06-02 20:45:00+00:00,2.0,1.0,-1.0,HB106,River St & Newark St,2026-06-02,20,45,2026-06-02,37.0
2026-06-02 21:00:00+00:00,2.0,2.0,0.0,HB106,River St & Newark St,2026-06-02,21,0,2026-06-02,37.0
2026-06-02 21:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,21,15,2026-06-02,37.0
2026-06-02 21:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,21,30,2026-06-02,37.0
2026-06-02 21:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,21,45,2026-06-02,37.0
2026-06-02 22:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,22,0,2026-06-02,37.0
2026-06-02 22:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,22,15,2026-06-02,37.0
2026-06-02 22:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,22,30,2026-06-02,37.0
2026-06-02 22:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,22,45,2026-06-02,37.0
2026-06-02 23:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,23,0,2026-06-02,37.0
2026-06-02 23:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,23,15,2026-06-02,37.0
2026-06-02 23:30:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-02,23,30,2026-06-02,38.0
2026-06-02 23:45:00+00:00,1.0,0.0,-1.0,HB106,River St & Newark St,2026-06-02,23,45,2026-06-02,37.0
2026-06-03 00:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,0,0,2026-06-02,37.0
2026-06-03 00:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,0,15,2026-06-02,37.0
2026-06-03 00:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,0,30,2026-06-02,37.0
2026-06-03 00:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,0,45,2026-06-02,37.0
2026-06-03 01:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,1,0,2026-06-02,37.0
2026-06-03 01:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,1,15,2026-06-02,37.0
2026-06-03 01:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,1,30,2026-06-02,37.0
2026-06-03 01:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,1,45,2026-06-02,37.0
2026-06-03 02:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,2,0,2026-06-02,37.0
2026-06-03 02:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,2,15,2026-06-02,37.0
2026-06-03 02:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,2,30,2026-06-02,37.0
2026-06-03 02:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,2,45,2026-06-02,37.0
2026-06-03 03:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,3,0,2026-06-02,37.0
2026-06-03 03:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,3,15,2026-06-02,37.0
2026-06-03 03:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,3,30,2026-06-02,37.0
2026-06-03 03:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,3,45,2026-06-02,37.0
2026-06-03 04:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,4,0,2026-06-02,37.0
2026-06-03 04:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,4,15,2026-06-02,37.0
2026-06-03 04:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,4,30,2026-06-02,37.0
2026-06-03 04:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,4,45,2026-06-02,37.0
2026-06-03 05:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-03,5,0,2026-06-03,0.0
